,age,fnlwgt,education-num,marital-status,relationship,race,sex,hours-per-week,income
101,44,198282,13,2,8,8,2,60,1
102,47,149116,14,1,1,8,1,50,0
103,20,188300,10,1,2,8,1,40,0
104,29,103432,9,1,1,8,2,40,0
105,32,317660,9,2,8,8,2,40,1
106,17,304873,6,1,2,8,1,32,0
107,30,194901,7,1,2,8,2,40,0
108,31,189265,9,1,1,8,1,40,0
109,42,124692,9,2,8,8,2,40,0
110,24,432376,13,1,32,8,2,40,0
111,38,65324,15,2,8,8,2,40,1
112,56,335605,9,2,8,8,2,50,1
113,28,377869,10,2,16,8,1,25,0
114,36,102864,9,1,2,8,1,40,0
115,53,95647,5,2,8,8,2,50,0
116,56,303090,10,2,8,8,2,50,0
117,49,197371,11,2,8,4,2,40,1
118,55,247552,10,2,8,8,2,56,0
119,22,102632,9,1,1,8,2,41,0
120,21,199915,10,1,2,8,1,40,0
121,40,118853,13,2,8,8,2,60,0
122,30,77143,13,1,2,4,2,40,0
123,29,267989,13,2,8,8,2,50,1
124,19,301606,10,1,2,4,2,35,0
125,47,287828,13,2,16,8,1,40,1
126,20,111697,10,1,2,8,1,28,0
127,31,114937,12,2,8,8,2,40,1
128,35,129305,9,2,8,8,2,40,0
129,39,365739,10,4,1,8,2,40,0
130,28,69621,12,1,1,8,1,60,0
131,24,43323,9,1,1,8,1,40,0
132,38,120985,9,2,8,8,2,35,0
133,37,254202,13,2,8,8,2,50,0
134,46,146195,12,4,1,4,1,36,0
135,38,125933,14,2,8,8,2,40,1
136,43,56920,9,2,8,8,2,60,0
137,27,163127,11,2,16,8,1,35,0
138,20,34310,10,1,2,8,2,20,0
139,49,81973,10,2,8,2,2,40,1
140,61,66614,9,2,8,8,2,40,0
141,27,232782,10,1,2,8,1,40,0
142,19,316868,10,1,2,8,2,30,0
143,45,196584,11,1,1,8,1,40,1
144,70,105376,10,1,32,8,2,40,0
145,31,185814,9,1,4,4,1,30,0
146,22,175374,10,2,8,8,2,24,0
147,36,108293,9,64,4,8,1,24,0
148,64,181232,7,2,8,8,2,40,0
149,43,174662,10,4,1,8,1,40,0
150,47,186009,10,4,4,8,1,38,0
151,34,198183,9,1,1,8,1,40,0
152,33,163003,13,1,32,2,1,40,0
153,21,296158,9,1,2,8,2,35,0
154,52,252903,9,4,1,8,2,45,1
155,48,187715,9,2,8,8,2,46,0
156,23,214542,13,1,1,8,2,40,0
157,71,494223,10,32,4,4,2,2,0
158,29,191535,9,4,1,8,2,60,0
159,42,228456,13,32,32,4,2,50,0
160,68,38317,2,4,1,8,1,20,0
161,25,252752,9,1,4,8,1,40,0
162,44,78374,14,4,4,2,1,40,0
163,28,88419,9,1,1,2,1,40,0
164,45,201080,14,2,8,8,2,40,1
165,36,207157,10,4,4,8,1,40,0
166,39,235485,12,1,1,8,2,42,0
167,46,102628,14,64,4,8,2,40,0
168,18,25828,7,1,2,8,2,16,0
169,66,54826,11,64,1,8,1,20,0
170,27,124953,9,1,1,8,2,40,0
171,28,175325,9,2,8,8,2,40,0
172,51,96062,10,2,8,8,2,40,1
173,27,428030,13,1,1,8,2,50,0
174,28,149624,13,2,8,8,2,40,1
175,27,253814,9,16,4,8,1,25,0
176,21,312956,9,1,2,4,2,40,0
177,34,483777,9,1,1,4,2,40,0
178,18,183930,9,1,2,8,2,12,0
179,33,37274,13,2,8,8,2,65,0
180,44,181344,10,2,8,4,2,38,1
181,43,114580,10,4,1,8,1,40,0
182,30,633742,10,1,1,4,2,45,0
183,40,286370,4,2,8,8,2,40,1
184,37,29054,10,2,8,8,2,42,1
185,34,304030,9,2,8,4,2,40,0
186,41,143129,13,4,1,8,1,40,0
187,53,135105,13,4,1,8,1,50,0
188,31,99928,14,2,16,8,1,50,0
189,58,109567,16,2,8,8,2,1,1
190,38,155222,10,4,1,4,1,28,0
191,24,159567,10,2,8,8,2,40,0
192,41,523910,13,2,8,4,2,40,0
193,47,120939,10,2,8,8,2,45,0
194,41,130760,13,2,8,8,2,24,0
195,23,197387,3,2,32,8,2,40,0
196,36,99374,10,4,1,8,2,40,0
197,40,56795,14,1,1,8,1,55,1
198,35,138992,14,2,32,8,2,40,1
199,24,32921,9,1,1,8,2,40,0
200,26,397317,14,1,1,8,1,40,0
201,19,170653,9,1,2,8,2,40,0
202,51,259323,13,2,8,8,2,50,1
203,42,254817,10,1,1,8,1,40,0
204,37,48211,9,4,4,8,1,35,0
205,18,140164,7,1,2,8,1,40,0
206,36,128757,13,2,8,4,2,36,1
207,35,36270,9,4,1,8,2,60,0
208,58,210563,9,2,16,8,1,35,1
209,17,65368,7,1,2,8,1,12,0
210,44,160943,9,2,8,4,2,40,0
211,37,208358,9,2,8,8,2,40,1
212,35,153790,10,1,1,1,1,40,0
213,60,85815,9,2,8,2,2,40,0
214,54,125417,4,2,8,8,2,40,1
215,37,635913,13,1,1,4,2,60,1
216,50,313321,12,4,1,8,1,40,0
217,38,182609,13,2,8,8,2,50,0
218,45,109434,13,2,8,8,2,55,0
219,25,255004,6,1,1,8,2,40,0
220,31,197860,10,2,8,8,2,40,0
221,64,187656,2,4,1,8,2,40,0
222,90,51744,9,1,1,4,2,40,0
223,54,176681,9,2,8,4,2,20,0
224,53,140359,1,1,1,8,1,35,0
225,18,243313,9,1,2,8,1,40,0
226,60,24215,6,4,1,1,1,10,0
227,66,167687,9,2,8,8,2,50,0
228,75,314209,11,64,1,8,1,20,0
229,65,176796,9,4,1,8,1,40,0
230,35,538583,7,32,1,4,2,40,0
231,41,130408,9,4,4,4,1,38,0
232,25,159732,10,1,1,8,2,42,0
233,33,110978,10,4,32,16,1,40,0
234,28,76714,15,1,1,8,2,55,1
235,59,268700,9,2,8,8,2,40,0
236,40,170525,10,1,1,8,1,38,0
237,41,180138,13,2,8,8,2,50,1
238,38,115076,14,2,8,8,2,70,1
239,23,115458,9,1,2,8,2,40,0
240,40,347890,13,2,8,8,2,40,1
241,41,196001,9,2,16,8,1,20,0
242,24,273905,12,2,8,8,2,50,0
243,20,119156,10,1,2,8,2,20,0
244,38,179488,10,4,1,8,2,40,0
245,56,203580,9,2,8,8,2,35,0
246,58,236596,9,2,8,8,2,45,1
247,32,183916,9,1,1,8,1,34,0
248,40,207578,12,2,8,8,2,60,1
249,45,153141,9,2,8,8,2,40,0
250,41,112763,15,2,16,8,1,40,1
251,42,390781,13,2,16,4,1,40,0
252,59,171328,6,64,4,4,1,30,0
253,19,27382,10,1,2,8,2,40,0
254,58,259014,10,1,1,8,2,20,0
255,42,303044,9,2,8,2,2,40,1
256,20,117789,9,1,2,8,1,40,0
257,32,172579,9,32,1,8,1,30,0
258,45,187666,11,64,1,8,1,45,0
259,50,204518,4,4,1,8,2,40,0
260,36,150042,13,4,2,8,1,40,0
261,45,98092,9,2,8,8,2,60,0
262,17,245918,7,1,2,8,2,12,0
263,59,146013,10,2,8,8,2,40,0
264,26,378322,7,2,8,8,2,40,0
265,37,257295,10,2,8,2,2,75,1
266,19,218956,10,1,2,8,2,24,0
267,64,21174,9,2,8,8,2,40,1
268,33,185480,13,1,1,8,1,45,0
269,33,222205,9,2,16,8,1,40,1
270,61,69867,9,2,8,8,2,40,1
271,17,191260,5,1,2,8,2,24,0
272,50,30653,14,2,8,8,2,98,0
273,27,209109,14,1,2,8,2,35,0
274,30,70377,9,4,2,8,1,40,0
275,43,477983,9,2,8,4,2,40,0
276,44,170924,10,2,8,8,2,40,1
277,35,190174,10,1,1,8,1,40,0
278,25,193787,10,1,2,8,1,40,0
279,24,279472,10,2,16,8,1,48,1
280,22,34918,13,1,1,8,1,15,0
281,42,97688,10,2,8,8,2,40,1
282,34,175413,12,4,4,4,1,45,0
283,60,173960,13,4,1,8,1,42,0
284,21,205759,9,1,2,8,2,40,0
285,57,425161,14,2,8,8,2,40,1
286,41,220531,15,2,8,8,2,60,1
287,50,176609,10,4,1,8,2,45,0
288,25,371987,13,1,1,8,1,40,0
289,50,193884,4,2,8,8,2,40,0
290,36,200352,13,2,8,8,2,45,0
291,31,127595,9,4,1,8,1,40,0
292,29,220419,13,1,1,8,2,56,0
293,21,231931,10,1,2,8,2,45,0
294,27,248402,13,1,4,4,1,40,0
295,65,111095,9,2,8,8,2,16,0
296,37,57424,13,4,1,8,1,60,0
297,24,278130,9,1,2,8,2,40,0
298,38,169469,9,4,1,8,2,80,0
299,48,146268,13,2,8,8,2,40,1
300,21,153718,10,1,1,2,1,25,0
301,31,217460,9,2,8,8,2,45,1
302,55,238638,9,2,8,8,2,40,1
303,24,303296,10,2,16,2,1,40,0
304,43,173321,9,4,1,8,1,40,0
305,26,193945,12,1,1,8,2,45,0
306,46,83082,12,1,1,8,1,33,0
307,35,193815,12,2,8,8,2,40,1
308,41,34987,10,2,8,8,2,54,1
309,26,59306,13,1,1,8,2,40,0
310,34,142897,14,2,8,2,2,35,1
311,19,860348,10,1,2,4,1,25,0
312,36,205607,13,4,1,4,1,40,1
313,22,199698,10,1,2,8,2,15,0
314,24,191954,10,1,1,8,2,40,0
315,77,138714,10,2,8,8,2,40,0
316,22,399087,3,2,32,8,1,40,0
317,29,423158,10,1,1,8,1,40,0
318,62,159841,9,64,1,8,1,24,0
319,39,174308,9,2,8,8,2,40,0
320,43,50356,10,2,8,8,2,50,0
321,35,186110,9,4,1,8,2,45,0
322,29,200381,7,1,1,8,1,40,0
323,76,174309,14,2,8,8,2,10,0
324,63,78383,9,2,8,8,2,45,0
325,23,211601,11,1,2,4,1,15,0
326,43,187728,10,2,16,8,1,50,1
327,58,321171,9,2,8,8,2,40,0
328,66,127921,9,1,1,8,2,55,0
329,41,206565,10,1,1,4,2,45,0
330,26,224563,13,1,1,8,2,40,0
331,47,178686,11,1,1,8,2,40,0
332,55,98545,6,2,8,8,2,40,0
333,53,242606,9,2,8,8,2,40,0
334,17,270942,3,1,32,8,2,48,0
335,30,94235,9,1,32,8,2,40,0
336,49,71195,14,1,1,8,2,60,0
337,19,104112,9,1,4,4,2,30,0
338,45,261192,9,2,8,4,2,40,0
339,26,94936,12,1,1,8,2,40,0
340,38,296478,11,2,8,8,2,40,1
341,36,119272,9,2,8,8,2,40,1
342,33,85043,9,1,1,8,2,20,0
343,22,293364,10,1,2,4,1,40,0
344,43,241895,13,1,1,8,2,42,0
345,67,36135,7,2,8,8,2,8,0
346,30,151989,11,4,4,8,1,40,0
347,56,101128,12,16,1,8,2,25,0
348,31,156464,13,1,2,8,2,25,0
349,33,117963,13,2,8,8,2,40,1
350,26,192262,9,2,8,8,2,40,0
351,33,111363,13,2,8,8,2,40,1
352,46,329752,7,2,8,8,2,30,0
353,59,372020,13,2,8,8,2,40,1
354,38,95432,9,2,8,8,2,40,1
355,65,161400,7,64,4,16,2,40,0
356,40,96129,11,2,8,8,2,40,1
357,42,111949,9,2,16,8,1,35,0
358,26,117125,5,2,8,8,2,40,0
359,36,348022,6,2,16,8,1,24,0
360,62,270092,14,2,8,8,2,40,1
361,43,180609,13,2,8,8,2,45,0
362,43,174575,13,4,1,8,2,45,1
363,22,410439,9,16,1,8,2,55,0
364,28,92262,9,2,8,8,2,40,0
365,56,183081,10,2,8,8,2,45,0
366,22,362589,12,1,1,8,1,15,0
367,57,212448,13,4,1,8,1,45,1
368,39,481060,9,4,4,8,1,40,0
369,26,185885,10,1,4,8,1,15,0
370,17,89821,7,1,2,8,2,10,0
371,40,184018,11,2,8,8,2,38,1
372,45,256649,9,2,8,4,2,40,0
373,44,160323,9,1,1,4,2,40,0
374,20,350845,10,1,2,8,1,10,0
375,33,267404,9,2,16,8,1,40,0
376,23,35633,10,1,1,8,2,40,0
377,46,80914,14,4,1,8,2,30,0
378,38,172927,9,2,8,8,2,50,0
379,54,174319,9,4,1,8,2,40,0
380,46,214955,3,4,1,8,1,45,0
381,25,344991,10,2,8,8,2,40,0
382,46,108699,10,4,1,8,1,40,0
383,36,117312,10,2,16,8,1,40,0
384,23,396099,9,1,1,8,1,25,0
385,29,134152,9,32,1,8,2,40,0
386,44,162028,10,2,16,8,1,6,1
387,19,25429,10,1,2,8,1,16,0
388,19,232392,9,1,32,8,1,40,0
389,35,220098,9,2,16,8,1,40,1
390,27,301302,13,1,1,8,2,50,0
391,46,277946,12,32,1,8,2,40,0
392,34,98101,13,2,8,8,2,45,1
393,34,196164,9,1,1,8,1,35,0
394,44,115562,10,2,8,8,2,40,0
395,45,96975,10,4,4,8,1,40,0
396,20,137300,9,1,32,8,1,35,0
397,25,86872,13,2,8,8,2,55,1
398,52,132178,13,2,8,8,2,50,1
399,20,416103,10,1,2,8,2,40,0
400,28,108574,10,1,1,8,1,40,0
401,50,288353,13,2,8,8,2,40,1
402,34,227689,11,4,1,8,1,64,0
403,28,166481,4,2,8,16,2,40,0
404,41,445382,14,2,8,8,2,65,1
405,28,110145,9,2,8,8,2,40,0
406,46,317253,9,2,8,8,2,25,0
407,28,123147,10,2,16,8,1,40,1
408,32,364657,10,2,8,8,2,50,0
409,41,42346,10,4,1,4,1,24,0
410,24,241951,9,1,4,4,1,40,0
411,33,118500,10,4,4,8,1,40,0
412,46,188386,16,2,8,8,2,60,1
413,31,1033222,10,2,8,8,2,40,0
414,35,92440,8,4,1,8,2,50,1
415,52,190762,2,2,8,8,2,40,0
416,30,426017,7,1,2,8,1,19,0
417,34,243867,7,32,1,4,2,40,0
418,34,240283,9,4,4,8,1,40,0
419,20,61777,10,2,8,8,2,30,0
420,17,175024,7,1,2,8,2,18,0
421,32,92003,13,2,16,8,1,40,1
422,29,188401,9,4,1,8,2,40,0
423,33,228528,6,1,4,8,1,35,0
424,25,133373,9,2,8,8,2,60,0
425,36,255191,14,1,1,8,2,40,0
426,23,204653,9,1,1,8,2,72,0
427,63,222289,9,2,8,8,2,40,1
428,47,287480,14,2,8,8,2,40,0
429,80,107762,9,64,1,8,2,24,0
430,17,202521,7,1,2,8,2,40,0
431,40,204116,13,16,1,8,1,40,0
432,30,29662,12,2,16,8,1,25,1
433,27,116358,10,1,2,2,2,40,0
434,33,208405,14,2,8,8,2,50,1
435,34,284843,9,1,1,4,2,60,0
436,34,117018,10,1,1,8,1,40,0
437,23,81281,10,2,8,8,2,40,0
438,42,340148,10,2,16,8,1,40,0
439,29,363425,13,1,1,8,2,40,0
440,45,45857,9,4,1,8,1,28,0
441,24,191073,9,1,2,8,2,40,0
442,44,116632,10,2,8,8,2,40,1
443,27,405855,5,1,32,8,2,40,0
444,20,298227,10,1,1,8,2,35,0
445,44,290521,9,64,4,4,1,40,0
446,51,56915,9,2,8,1,2,40,0
447,20,146538,9,2,8,8,2,40,0
448,17,258872,7,1,2,8,1,5,0
449,19,206399,9,1,2,4,1,40,0
450,45,197332,10,2,8,8,2,55,1
451,60,245062,9,2,8,8,2,40,1
452,42,197583,12,2,8,4,2,40,1
453,44,234885,9,2,16,8,1,40,1
454,40,72887,11,2,8,2,2,40,1
455,30,180374,9,2,16,8,1,40,0
456,38,351299,10,2,8,4,2,50,0
457,23,54012,9,2,8,8,2,60,0
458,32,115745,10,2,8,8,2,40,0
459,44,116632,12,1,2,8,2,40,0
460,54,288825,9,2,8,4,2,40,0
461,32,132601,13,2,8,8,2,50,0
462,50,193374,2,16,4,8,2,40,0
463,24,170070,13,1,1,8,1,20,0
464,37,126708,9,2,16,8,1,60,0
465,52,35598,9,4,4,8,2,40,0
466,38,33983,10,2,8,8,2,40,0
467,49,192776,14,2,8,8,2,45,1
468,30,118551,13,2,16,8,1,16,1
469,60,201965,10,1,4,8,2,40,1
470,22,139883,10,1,2,8,2,40,0
471,35,285020,9,1,1,8,2,40,0
472,30,303990,9,1,1,8,2,60,0
473,67,49401,11,4,1,8,1,24,0
474,46,279196,13,1,1,8,1,40,0
475,17,211870,5,1,1,8,2,6,0
476,22,281432,10,1,2,8,2,30,0
477,27,161155,6,1,1,8,2,40,0
478,23,197904,9,1,4,8,1,35,0
479,33,111746,12,2,8,8,2,45,0
480,43,170721,10,2,8,8,2,20,0
481,28,70100,13,1,1,8,2,20,0
482,41,193626,9,16,4,8,1,40,0
483,52,271749,8,1,32,4,2,40,0
484,25,189775,10,16,2,4,1,20,0
485,63,401531,2,2,8,8,2,35,0
486,59,286967,9,2,8,8,2,45,0
487,45,164427,13,4,4,8,1,40,0
488,38,91039,13,2,8,8,2,60,1
489,40,347934,9,1,1,8,1,35,0
490,46,371373,9,4,1,8,2,40,0
491,35,32220,12,1,1,8,1,60,0
492,34,187251,9,4,4,8,1,25,0
493,33,178107,13,1,2,8,2,20,0
494,41,343121,9,4,4,8,1,36,0
495,20,262749,10,1,2,8,2,40,0
496,23,403107,3,1,2,8,2,40,0
497,26,64293,10,1,1,8,1,35,0
498,72,303588,9,2,8,8,2,20,0
499,23,324960,9,1,1,8,2,40,0
500,62,114060,9,2,8,8,2,40,0
501,52,48925,10,2,8,8,2,40,0
502,58,180980,10,4,4,8,1,42,0
503,25,181054,13,1,1,8,1,40,0
504,24,388093,13,1,1,4,2,40,0
505,19,249609,10,1,2,8,2,8,0
506,43,112131,10,2,8,8,2,40,0
507,47,543162,9,32,4,4,1,40,0
508,39,91996,9,4,4,8,1,40,0
509,49,141944,11,16,4,8,2,42,0
510,53,251804,3,64,4,4,1,30,0
511,32,37070,11,1,1,8,2,45,0
512,34,337587,10,2,8,8,2,50,1
513,28,189346,9,4,1,8,2,45,0
514,57,222216,11,64,4,8,1,38,0
515,25,267044,10,1,1,1,1,20,0
516,20,214635,10,1,2,8,2,24,0
517,21,204226,10,1,4,8,1,35,0
518,34,108116,13,2,8,8,2,50,1
519,38,99146,13,2,8,8,2,80,1
520,50,196232,9,2,8,8,2,50,1
521,24,248344,10,4,1,4,2,50,0
522,37,186035,10,2,8,8,2,45,1
523,44,177905,10,4,4,8,2,58,1
524,28,85812,10,2,16,8,1,40,0
525,42,221172,13,2,8,8,2,40,1
526,74,99183,10,4,1,8,1,9,0
527,38,190387,9,2,8,8,2,50,0
528,44,202692,14,2,8,8,2,40,0
529,44,109339,7,4,4,16,1,46,0
530,26,108658,9,1,1,8,2,40,0
531,36,197202,9,2,8,4,2,40,0
532,41,101739,12,2,16,8,1,50,1
533,67,231559,15,2,8,8,2,48,1
534,39,207853,8,2,8,8,2,50,0
535,57,190942,2,64,1,4,1,30,0
536,29,102345,11,32,1,8,2,40,0
537,31,41493,13,1,1,8,1,45,0
538,34,190027,9,1,4,4,1,40,0
539,44,210525,10,2,8,8,2,40,0
540,29,133937,16,1,2,8,2,40,0
541,30,237903,10,1,4,8,1,40,0
542,27,163862,9,1,1,8,2,40,0
543,27,201872,10,2,8,8,2,50,0
544,32,84179,9,1,1,8,1,45,0
545,58,51662,6,2,16,8,1,8,0
546,35,233327,10,2,8,8,2,40,0
547,21,259510,9,1,2,8,2,36,0
548,28,184831,10,1,4,8,2,40,0
549,46,245724,10,4,1,8,2,50,0
550,36,27053,9,32,4,8,1,40,0
551,72,205343,7,64,4,8,1,40,0
552,35,229328,9,2,16,4,1,40,0
553,33,319560,11,4,4,4,1,40,1
554,69,136218,7,1,1,8,1,40,0
555,35,54576,9,2,8,8,2,40,0
556,31,323069,9,32,4,8,1,20,0
557,34,148291,9,2,16,8,1,32,0
558,30,152453,7,2,8,8,2,40,0
559,28,114053,13,1,1,8,2,55,0
560,54,212960,13,2,8,8,2,35,1
561,47,264052,10,2,8,8,2,50,1
562,24,82804,9,1,4,4,1,40,0
563,52,334273,13,2,8,8,2,60,1
564,20,27337,9,1,2,1,2,48,0
565,43,188436,14,2,8,8,2,45,0
566,45,433665,4,32,4,8,1,40,0
567,29,110663,9,32,1,8,2,35,0
568,47,87490,14,4,4,8,2,42,0
569,24,354351,9,1,2,8,2,40,0
570,51,95469,9,2,8,8,2,40,0
571,17,242718,7,1,2,8,2,12,0
572,37,22463,11,2,8,8,2,40,1
573,27,158156,16,1,1,8,1,70,0
574,29,350162,13,2,16,8,2,40,1
575,18,165532,8,1,2,8,2,25,0
576,36,28738,12,4,4,8,1,35,0
577,58,283635,13,1,1,8,1,40,0
578,26,86646,10,2,8,8,2,45,0
579,65,195733,10,2,8,8,2,30,1
580,57,69884,9,2,8,8,2,40,1
581,59,199713,9,2,8,8,2,40,0
582,27,181659,9,2,8,8,2,40,0
583,31,340939,13,1,1,8,2,40,0
584,21,197747,10,1,2,8,1,24,0
585,29,34292,10,1,1,8,2,60,0
586,18,156764,7,1,2,8,2,40,0
587,52,25826,6,2,8,8,2,47,1
588,57,103948,13,4,1,8,2,80,0
589,42,137390,9,2,8,8,2,40,0
590,55,105138,9,2,16,2,1,40,0
591,60,39352,4,1,1,8,2,48,1
592,31,168387,13,2,8,8,2,40,1
593,23,117789,13,1,2,8,1,40,0
594,27,267147,9,1,2,8,2,40,0
595,23,99399,10,1,4,1,1,25,0
596,42,214242,15,2,8,8,2,50,1
597,25,200408,10,1,1,8,2,40,0
598,49,136455,13,1,1,8,1,45,0
599,32,239824,13,1,1,8,2,40,0
600,19,217039,10,1,2,8,2,28,0
601,60,51290,4,4,1,8,1,40,0
602,42,175674,5,2,8,8,2,40,0
603,35,194404,12,1,1,8,2,40,0
604,48,45612,9,1,4,4,1,37,0
605,51,410114,14,2,8,8,2,40,1
606,29,182521,9,1,1,1,2,40,0
607,36,339772,9,32,1,4,2,40,0
608,17,169658,6,1,2,8,1,21,0
609,52,200853,14,4,1,8,1,60,0
610,24,247564,9,1,1,8,2,40,0
611,24,249909,9,2,8,8,2,50,0
612,26,208122,13,1,2,8,2,40,0
613,27,109881,13,1,2,8,1,20,0
614,39,207824,9,1,2,8,2,60,0
615,30,369027,9,2,8,4,2,45,0
616,50,114117,9,2,8,8,2,32,0
617,52,51048,13,2,8,8,2,55,0
618,46,102388,15,2,8,8,2,45,1
619,23,190483,13,1,2,8,1,20,0
620,45,462440,7,64,1,4,1,20,0
621,65,109351,5,64,4,4,1,24,0
622,29,34383,11,2,8,8,2,55,0
623,47,241832,5,16,4,8,2,40,0
624,30,124187,9,1,2,4,2,60,0
625,34,153614,9,2,8,8,2,45,1
626,38,267556,9,2,8,8,2,64,0
627,33,205469,10,2,8,8,2,40,1
628,49,268090,13,2,8,8,2,26,1
629,47,165039,10,1,4,4,1,40,0
630,49,120451,6,32,4,4,1,40,0
631,43,154374,10,2,8,8,2,60,1
632,30,103649,13,2,16,4,1,40,1
633,58,35723,9,2,8,8,2,60,0
634,19,262601,9,1,2,8,1,14,0
635,21,226181,13,1,1,8,2,40,0
636,33,175697,13,2,8,8,2,60,1
637,47,248145,3,2,8,8,2,50,0
638,52,289436,16,2,8,8,2,60,1
639,26,75654,9,4,1,8,2,55,0
640,60,199378,9,2,8,8,2,40,0
641,21,160968,10,1,2,8,2,40,0
642,36,188563,10,2,8,8,2,50,1
643,31,55849,10,2,8,8,2,45,0
644,50,195322,16,32,1,8,2,40,1
645,31,402089,9,4,4,8,1,40,0
646,71,78277,9,2,8,8,2,15,0
647,58,158611,9,2,8,8,2,50,0
648,30,169496,13,2,8,8,2,40,1
649,20,130959,10,1,2,8,2,20,0
650,24,556660,9,1,32,8,2,50,0
651,35,292472,16,2,8,2,2,40,1
652,38,143774,10,32,1,8,1,45,0
653,27,288341,9,1,2,8,1,32,0
654,29,71592,10,1,4,2,1,40,0
655,70,167358,5,64,4,8,1,15,0
656,34,106742,9,2,8,8,2,45,0
657,44,219288,4,2,8,8,2,35,0
658,43,174524,9,2,8,8,2,40,1
659,44,335183,8,2,8,4,2,40,1
660,35,261293,14,1,1,8,2,60,0
661,27,111900,10,1,1,8,2,40,0
662,43,194360,14,1,1,8,2,38,0
